path,baseline_comparison,bytes,license_note
Sources/Copool/Layout/LayoutRules.swift,upstream_modified,10522,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Layout/PanelViewportEnvironment.swift,local_addition,520,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Resources/AILSASubSwitch.icns,local_addition,2233321,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Resources/THIRD_PARTY_NOTICES.md,local_addition,5827,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Resources/de.lproj/Localizable.strings,upstream_modified,26490,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Resources/en.lproj/Localizable.strings,upstream_modified,26628,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Resources/es.lproj/Localizable.strings,upstream_modified,26451,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Resources/fr.lproj/Localizable.strings,upstream_modified,26785,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Resources/it.lproj/Localizable.strings,upstream_modified,26296,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Resources/ja.lproj/Localizable.strings,upstream_modified,30356,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Resources/ko.lproj/Localizable.strings,upstream_modified,28907,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Resources/nl.lproj/Localizable.strings,upstream_modified,25703,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Resources/opencodex-runtime-pricing-bindings-v1.json,local_addition,110114,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Resources/ru.lproj/Localizable.strings,upstream_modified,30491,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Resources/zh-Hans.lproj/Localizable.strings,upstream_modified,25860,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Resources/zh-Hant.lproj/Localizable.strings,upstream_modified,24705,MIT; see LICENSE and bundled third-party notices
Sources/Copool/UI/ASModalSurface.swift,local_addition,1796,MIT; see LICENSE and bundled third-party notices
Sources/Copool/UI/ASSegmentedControl.swift,local_addition,2250,MIT; see LICENSE and bundled third-party notices
Sources/Copool/UI/AccountTagView.swift,upstream_modified,5669,MIT; see LICENSE and bundled third-party notices
Sources/Copool/UI/AppDesign.swift,local_addition,4322,MIT; see LICENSE and bundled third-party notices
Sources/Copool/UI/EmptyStateView.swift,upstream_identical,460,MIT; see LICENSE and bundled third-party notices
Sources/Copool/UI/LiquidProgress.swift,upstream_modified,14020,MIT; see LICENSE and bundled third-party notices
Sources/Copool/UI/NoticeBanner.swift,upstream_modified,1852,MIT; see LICENSE and bundled third-party notices
Sources/Copool/UI/PlatformClipboard.swift,upstream_identical,464,MIT; see LICENSE and bundled third-party notices
Sources/Copool/UI/SectionActionStyle.swift,upstream_modified,5673,MIT; see LICENSE and bundled third-party notices
Sources/Copool/UI/SectionSurface.swift,upstream_modified,8085,MIT; see LICENSE and bundled third-party notices
Sources/Copool/WidgetSupport/AccountsWidgetSnapshot.swift,upstream_modified,7235,MIT; see LICENSE and bundled third-party notices
Sources/Copool/WidgetSupport/AccountsWidgetSnapshotBuilder.swift,upstream_modified,11182,MIT; see LICENSE and bundled third-party notices
Sources/Copool/WidgetSupport/AccountsWidgetSnapshotStore.swift,upstream_identical,1923,MIT; see LICENSE and bundled third-party notices
Sources/Copool/WidgetSupport/AccountsWidgetSnapshotWriter.swift,upstream_modified,2996,MIT; see LICENSE and bundled third-party notices
Sources/Copool/WidgetSupport/UsageQuotaDisplayName.swift,local_addition,2150,MIT; see LICENSE and bundled third-party notices
Sources/CopoolWidgets/AccountsWidgetViews.swift,upstream_modified,34727,MIT; see LICENSE and bundled third-party notices
Sources/CopoolWidgets/CopoolWidgets.swift,upstream_modified,5243,MIT; see LICENSE and bundled third-party notices
